user_id,location,age,gender,interests,existing_communities,active_since
U128,"Denver, CO",48,Non-binary,"['Catholic Church', 'Dancing', 'Devotional Music', 'Hatha Yoga', 'Kundalini Yoga', 'Nutrition', 'Qi Gong', 'Religious Teachings', 'Somatic Healing', 'Walking Meditation']","['Kundalini Collective', 'Local Church Community']",2025-11-22
U129,"Queens, NY",27,Female,"['Bhakti Marga', 'Conscious Parenting', 'Fasting', 'Forgiveness', 'Qi Gong', 'Reflexology', 'Self Realization', 'Sivananda', 'Strength Training']",['Sivananda Center'],2023-12-03
U130,"Denver, CO",57,Male,"['Gratitude Circles', 'Group Therapy', 'Kindness Practice', 'Kundalini Yoga', 'Reiki', 'Spiritual Talks', 'Tai Chi', 'Vipassana', 'Vision Boarding']","['Energy Healing Circle', 'Kundalini Collective', 'Vipassana Group']",2025-08-29
U131,"Miami, FL",51,Female,"['Ashrams', 'Breathwork', 'Chinmaya Mission', 'Conscious Parenting', 'Devotional Music', 'Qi Gong', 'Spiritual Talks', 'Vision Boarding']","['Chinmaya Mission', 'Wellness Meetup']",2025-06-11
U132,"Chicago, IL",31,Male,"['Dancing', 'HIIT Training', 'Tea Meditation', 'Transcendental Meditation', 'Vinyasa Yoga']","['Wellness Meetup', 'Yoga Studio Community']",2024-06-24
U133,"Boston, MA",30,Non-binary,"['Ayurveda', 'Bhakti Marga', 'Devotional Music', 'Worship']","['Ayurveda Wellness Circle', 'Retreat Alumni Group']",2025-01-31
U134,"Queens, NY",32,Non-binary,"['Barry’s', 'Book Club', 'Conscious Parenting', 'Spiritual Talks', 'Transcendental Meditation']",['Barry’s Fitness Group'],2024-11-12
U135,"Jersey City, NJ",55,Female,"['Boxing', 'Cycling', 'Gratitude Circles', 'Group Therapy', 'Hatha Yoga', 'Kirtan', 'Pranayama', 'Self Realization', 'Silence (Mouna)', 'Sleep Optimization']",['Bhakti Center NYC'],2024-08-06
U136,"Portland, OR",54,Female,"['Brahma Kumaris', 'Gratitude Circles', 'Tea Meditation', 'Vipassana']","['Brahma Kumaris', 'Vipassana Group']",2025-09-06
U137,"Jersey City, NJ",56,Non-binary,"['Breathwork', 'Catholic Church', 'Individual Therapy', 'Mystical Experiences', 'Pilates', 'Reiki', 'Transcendental Meditation', 'Vinyasa Yoga', 'Zen Buddhism']","['Energy Healing Circle', 'Local Church Community', 'Pilates Studio', 'Sky Ting Yoga', 'Wellness Meetup']",2024-02-13
U138,"Chicago, IL",24,Male,"['Gratitude Circles', 'Hatha Yoga', 'Hiking', 'Individual Therapy', 'Jogging', 'Life Coaching', 'Qi Gong', 'Spiritual Talks', 'Tai Chi', 'Zen Buddhism']",['None yet'],2024-01-28
U139,"Jersey City, NJ",41,Female,"['Barry’s', 'Book Club', 'Boxing', 'Devotional Music', 'Self Realization', 'Somatic Healing', 'Vipassana', 'Walking Meditation', 'Worship']","['Barry’s Fitness Group', 'Vipassana Group']",2026-04-12
U140,"Queens, NY",22,Female,"['Conscious Parenting', 'Life Coaching', 'Pilates', 'Vision Boarding']","['Community Yoga Group', 'Pilates Studio']",2023-11-25
U141,"Hoboken, NJ",45,Female,"['Barre', 'Catholic Church', 'Hatha Yoga', 'Pilates', 'Qi Gong', 'SoulCycle', 'Tai Chi']","['Local Church Community', 'Online Spiritual Community', 'Pilates Studio', 'SoulCycle Community']",2023-11-16
U142,"Austin, TX",35,Male,"['Ayurveda', 'Group Therapy', 'Pilates', 'Yoga Nidra', 'Zen Buddhism']","['Ayurveda Wellness Circle', 'Online Spiritual Community', 'Pilates Studio', 'Yoga Studio Community']",2025-03-05
U143,"New York, NY",31,Male,"['Journaling', 'Pranayama', 'Reiki', 'Sleep Optimization']","['Energy Healing Circle', 'None yet']",2024-10-03
U144,"Los Angeles, CA",42,Female,"['Scriptural Study', 'Sleep Optimization', 'Swimming', 'Vipassana', 'Zen Buddhism']","['Spiritual Book Club', 'Vipassana Group']",2025-01-03
U145,"Brooklyn, NY",47,Female,"['Gratitude Circles', 'Meditation', 'Qi Gong', 'Religious Teachings', 'Sleep Optimization', 'Walking Meditation']","['Meditation Sangha', 'Retreat Alumni Group']",2026-04-18
U146,"Hoboken, NJ",28,Non-binary,"['Bhakti', 'Hatha Yoga', 'Individual Therapy', 'Kirtan', 'Mystical Experiences']","['Bhakti Center NYC', 'Wellness Meetup']",2024-08-06
U147,"Boston, MA",27,Male,"['Ayurveda', 'Breathwork', 'Hatha Yoga', 'Jogging', 'Strength Training']","['Ayurveda Wellness Circle', 'Wellness Meetup']",2024-01-23
U148,"Austin, TX",42,Non-binary,"['Art of Living', 'Catholic Church', 'Hatha Yoga', 'Qi Gong', 'Selfless Service', 'Sleep Optimization', 'SolidCore', 'SoulCycle']","['Art of Living', 'Local Church Community', 'Online Spiritual Community', 'SoulCycle Community']",2025-09-25
U149,"San Francisco, CA",33,Female,"['Devotional Music', 'Life Coaching', 'Scriptural Study', 'Selfless Service']","['Online Spiritual Community', 'Spiritual Book Club']",2025-07-19
U150,"Jersey City, NJ",40,Female,"['Art of Living', 'Boxing', 'Brahma Kumaris', 'Conscious Parenting', 'Cycling', 'Group Therapy', 'Scriptural Study', 'Somatic Healing', 'Yoga Nidra']","['Art of Living', 'Brahma Kumaris', 'Spiritual Book Club', 'Yoga Studio Community']",2025-02-14
U151,"Miami, FL",40,Female,"['Barry’s', 'Cycling', 'Journaling', 'Mental Toughness', 'Reflexology', 'Silence (Mouna)', 'Vision Boarding']","['Barry’s Fitness Group', 'Community Yoga Group']",2024-08-17
U152,"Seattle, WA",56,Male,"['Bhakti', 'Gratitude Circles', 'Hatha Yoga', 'Kundalini Yoga', 'Mental Toughness', 'Pilates', 'Reiki', 'Religious Teachings', 'Sivananda', 'Strength Training', 'Walking Meditation']","['Bhakti Center NYC', 'Energy Healing Circle', 'Kundalini Collective', 'Pilates Studio', 'Retreat Alumni Group', 'Sivananda Center']",2023-11-28
U153,"Hoboken, NJ",52,Female,"['Acupuncture', 'Fasting', 'Jogging', 'Volunteering', 'Worship']","['Community Service Group', 'Wellness Meetup']",2024-01-14
U154,"Seattle, WA",28,Non-binary,"['Ashrams', 'Ashtanga Yoga', 'Brahma Kumaris', 'Forgiveness', 'Sleep Optimization', 'Spiritual Talks', 'Worship']","['Ashtanga Community', 'Brahma Kumaris']",2026-01-29
U155,"Seattle, WA",41,Male,"['Forgiveness', 'Hot Yoga', 'Jogging']",['CorePower Yoga'],2025-08-21
U156,"Boston, MA",36,Non-binary,"['Acupuncture', 'Cycling', 'Kundalini Yoga', 'Pranayama']",['Kundalini Collective'],2025-09-16
U157,"Hoboken, NJ",44,Non-binary,"['Ashrams', 'Scriptural Study', 'Selfless Service', 'Sivananda']","['Retreat Alumni Group', 'Sivananda Center', 'Spiritual Book Club']",2025-03-26
U158,"New York, NY",37,Non-binary,"['Acupuncture', 'Cycling', 'Hatha Yoga', 'Kundalini Yoga', 'Sleep Optimization']","['Kundalini Collective', 'Wellness Meetup']",2023-11-28
U159,"Austin, TX",24,Female,"['Mystical Experiences', 'Sleep Optimization', 'Sound Meditation']",['Wellness Meetup'],2025-05-02
U160,"Los Angeles, CA",45,Female,"['Conscious Parenting', 'Kundalini Yoga', 'Volunteering']","['Community Service Group', 'Kundalini Collective']",2024-08-29
U161,"Chicago, IL",46,Female,"['Book Club', 'Catholic Church', 'Dancing', 'Kundalini Yoga', 'Pranayama', 'Reiki', 'Spiritual Talks', 'Walking Meditation']","['Energy Healing Circle', 'Kundalini Collective', 'Local Church Community']",2023-12-29
U162,"Hoboken, NJ",36,Female,"['Bhakti', 'Brahma Kumaris', 'Breathwork', 'Chinmaya Mission', 'Kundalini Yoga', 'Meditation', 'Pranayama', 'Tea Meditation', 'Vision Boarding']","['Bhakti Center NYC', 'Brahma Kumaris', 'Chinmaya Mission', 'Kundalini Collective', 'Meditation Sangha', 'Wellness Meetup']",2025-03-25
U163,"San Francisco, CA",24,Non-binary,"['Boxing', 'Fasting', 'Kundalini Yoga', 'Life Coaching', 'Mental Toughness', 'Reiki', 'Spiritual Talks', 'Tai Chi', 'Volunteering']","['Community Service Group', 'Energy Healing Circle', 'Kundalini Collective', 'Retreat Alumni Group']",2026-03-22
U164,"New York, NY",25,Non-binary,"['Acupuncture', 'Art of Living', 'Bhakti Marga', 'Fasting', 'Gratitude Circles', 'Religious Teachings', 'Scriptural Study', 'Selfless Service', 'Vinyasa Yoga']","['Art of Living', 'Online Spiritual Community', 'Sky Ting Yoga', 'Spiritual Book Club']",2024-05-28
U165,"Seattle, WA",44,Non-binary,"['Barry’s', 'Individual Therapy', 'Kindness Practice', 'Mantra Meditation', 'Scriptural Study', 'Selfless Service', 'Somatic Healing', 'Swimming', 'Walking Meditation']","['Barry’s Fitness Group', 'Spiritual Book Club']",2024-08-30
U166,"Chicago, IL",57,Non-binary,"['Book Club', 'Kirtan', 'Sivananda', 'Volunteering']","['Bhakti Center NYC', 'Community Service Group', 'Sivananda Center']",2024-10-18
U167,"Boston, MA",23,Female,"['Ashrams', 'Bhakti', 'Gratitude Circles', 'Reflexology', 'Religious Teachings', 'Transcendental Meditation', 'Vinyasa Yoga']","['Bhakti Marga', 'Sky Ting Yoga']",2025-10-30
U168,"Denver, CO",52,Female,"['Bhakti Marga', 'Brahma Kumaris', 'Breathwork', 'Group Therapy', 'Religious Teachings', 'Scriptural Study', 'Sound Meditation']","['Brahma Kumaris', 'Online Spiritual Community', 'Spiritual Book Club', 'Wellness Meetup']",2025-09-10
U169,"New York, NY",38,Male,"['Art of Living', 'Ashrams', 'Bhakti Marga', 'Forgiveness', 'Mantra Meditation', 'Scriptural Study', 'Vision Boarding']","['Art of Living', 'Community Yoga Group', 'Spiritual Book Club']",2025-05-13
U170,"Jersey City, NJ",35,Female,"['Ayurveda', 'Barre', 'Catholic Church', 'Fasting', 'Hatha Yoga', 'Meditation', 'Pranayama', 'Reiki', 'Silence (Mouna)', 'Zen Buddhism']","['Ayurveda Wellness Circle', 'Energy Healing Circle', 'Local Church Community', 'Meditation Sangha']",2023-11-28
U171,"Los Angeles, CA",33,Male,"['Barre', 'Brahma Kumaris', 'Chinmaya Mission', 'Gratitude Circles', 'Mystical Experiences', 'Sound Meditation', 'Tai Chi', 'Yoga Nidra']","['Brahma Kumaris', 'Chinmaya Mission', 'Yoga Studio Community']",2026-01-16
U172,"Boston, MA",42,Female,"['Ashrams', 'Catholic Church', 'Conscious Parenting', 'Cycling', 'Life Coaching', 'Mental Toughness', 'Mystical Experiences', 'SolidCore', 'Vipassana', 'Vision Boarding', 'Yoga Nidra']","['Local Church Community', 'Retreat Alumni Group', 'Vipassana Group', 'Yoga Studio Community']",2025-03-19
U173,"Denver, CO",26,Male,"['Art of Living', 'Book Club', 'Forgiveness', 'Individual Therapy', 'Kindness Practice', 'Nutrition', 'Somatic Healing']",['Art of Living'],2025-07-22
U174,"Seattle, WA",40,Female,"['Group Therapy', 'Sivananda']",['Sivananda Center'],2024-06-14
U175,"Boston, MA",31,Male,"['Bhakti', 'Hot Yoga', 'Kundalini Yoga', 'Pranayama', 'Silence (Mouna)', 'Sound Meditation']","['Bhakti Center NYC', 'CorePower Yoga', 'Kundalini Collective']",2025-02-23
U176,"Denver, CO",34,Male,"['Bhakti Marga', 'Breathwork', 'Chinmaya Mission', 'Forgiveness', 'Individual Therapy', 'Kirtan', 'Kundalini Yoga', 'Mental Toughness', 'Selfless Service', 'Vision Boarding', 'Zen Buddhism']","['Bhakti Center NYC', 'Breathwork Collective', 'Chinmaya Mission', 'Kundalini Collective', 'Wellness Meetup']",2025-07-28
U177,"Hoboken, NJ",57,Non-binary,"['Forgiveness', 'Group Therapy', 'Journaling', 'Qi Gong', 'Reiki', 'Somatic Healing', 'Spiritual Talks']","['Energy Healing Circle', 'Retreat Alumni Group']",2025-05-01
U178,"Queens, NY",44,Non-binary,"['Bhakti', 'Book Club', 'Brahma Kumaris', 'Conscious Parenting', 'Forgiveness', 'Gratitude Circles', 'Worship']","['Bhakti Center NYC', 'Brahma Kumaris']",2025-01-19
U179,"New York, NY",34,Non-binary,"['Ashrams', 'Hot Yoga', 'Journaling', 'Scriptural Study', 'Spiritual Talks', 'Vinyasa Yoga', 'Walking Meditation', 'Zen Buddhism']","['CorePower Yoga', 'Sky Ting Yoga', 'Spiritual Book Club']",2024-10-07
U180,"Los Angeles, CA",22,Non-binary,"['Cycling', 'Devotional Music', 'Hot Yoga', 'Jogging', 'Kirtan', 'Worship']","['CorePower Yoga', 'Kirtan Circle']",2025-11-27
U181,"Seattle, WA",22,Non-binary,"['Conscious Parenting', 'Life Coaching', 'Mantra Meditation', 'Meditation', 'Mental Toughness']","['Community Yoga Group', 'Zen Community']",2024-12-01
U182,"San Francisco, CA",38,Non-binary,"['Book Club', 'Hot Yoga', 'Pranayama', 'Volunteering', 'Worship']","['Community Service Group', 'CorePower Yoga']",2024-09-23
U183,"New York, NY",43,Non-binary,"['Bhakti Marga', 'Fasting', 'Qi Gong', 'SoulCycle', 'Tai Chi']",['SoulCycle Community'],2024-12-03
U184,"Seattle, WA",56,Non-binary,"['Bhakti Marga', 'Reiki']",['Energy Healing Circle'],2025-03-11
U185,"Los Angeles, CA",24,Female,"['Ashrams', 'Conscious Parenting', 'Kirtan', 'Life Coaching', 'Mental Toughness', 'Scriptural Study', 'Tea Meditation', 'Vinyasa Yoga']","['Bhakti Center NYC', 'Sky Ting Yoga', 'Spiritual Book Club']",2024-07-05
U186,"Hoboken, NJ",24,Non-binary,"['Conscious Parenting', 'Cycling', 'Mantra Meditation', 'Qi Gong', 'Reiki', 'Tai Chi', 'Tea Meditation', 'Vinyasa Yoga']","['Energy Healing Circle', 'None yet', 'Sky Ting Yoga']",2026-01-19
U187,"New York, NY",32,Male,"['Art of Living', 'Bhakti', 'Book Club', 'Forgiveness', 'Kindness Practice', 'Reiki']","['Art of Living', 'Bhakti Marga', 'Community Yoga Group', 'Energy Healing Circle']",2025-09-11
U188,"Jersey City, NJ",39,Male,"['Breathwork', 'Qi Gong', 'Selfless Service', 'Sleep Optimization']",['Breathwork Collective'],2026-01-12
U189,"Boston, MA",58,Non-binary,"['Book Club', 'Conscious Parenting', 'Kindness Practice', 'Pranayama', 'Qi Gong']",['None yet'],2025-06-13
U190,"Denver, CO",23,Male,"['Book Club', 'Hatha Yoga', 'Individual Therapy', 'Pranayama', 'Vision Boarding']","['Community Yoga Group', 'None yet']",2025-07-14
U191,"Hoboken, NJ",44,Non-binary,"['Bhakti Marga', 'Group Therapy', 'Kirtan', 'Pranayama', 'Qi Gong', 'Tai Chi', 'Worship', 'Zen Buddhism']",['Bhakti Center NYC'],2024-02-26
U192,"Miami, FL",34,Male,"['Acupuncture', 'Mantra Meditation', 'Meditation', 'Pilates', 'Tea Meditation', 'Walking Meditation']","['Meditation Sangha', 'Pilates Studio']",2025-09-19
U193,"Queens, NY",58,Female,"['Ashrams', 'Catholic Church', 'Chinmaya Mission', 'Life Coaching', 'Spiritual Talks', 'Transcendental Meditation', 'Volunteering', 'Yoga Nidra']","['Chinmaya Mission', 'Community Service Group', 'Local Church Community', 'Yoga Studio Community']",2024-05-18
U194,"Austin, TX",34,Female,"['Acupuncture', 'Breathwork', 'Reiki', 'Scriptural Study', 'SolidCore', 'Tai Chi', 'Vipassana']","['Breathwork Collective', 'Energy Healing Circle', 'Spiritual Book Club', 'Vipassana Group']",2024-03-11
U195,"San Francisco, CA",55,Non-binary,"['Group Therapy', 'Journaling', 'Mystical Experiences', 'Yoga Nidra']",['Yoga Studio Community'],2025-09-24
U196,"New York, NY",54,Female,"['Ashrams', 'Forgiveness', 'Life Coaching', 'Pranayama', 'Reiki', 'Selfless Service', 'Somatic Healing', 'Tea Meditation', 'Transcendental Meditation']",['Energy Healing Circle'],2025-09-29
U197,"Seattle, WA",50,Male,"['Acupuncture', 'Fasting', 'Mental Toughness', 'Zen Buddhism']",['Online Spiritual Community'],2024-01-22
U198,"San Francisco, CA",26,Non-binary,"['HIIT Training', 'Hiking', 'Spiritual Talks', 'Swimming']",['Retreat Alumni Group'],2025-01-29
U199,"Queens, NY",28,Female,"['Bhakti', 'Group Therapy', 'Life Coaching', 'Reiki']","['Bhakti Center NYC', 'Energy Healing Circle', 'Online Spiritual Community']",2024-05-06
U200,"Denver, CO",33,Female,"['Dancing', 'HIIT Training', 'Hiking', 'Kundalini Yoga', 'Reiki', 'Sivananda', 'Zen Buddhism']","['Energy Healing Circle', 'Kundalini Collective', 'Online Spiritual Community', 'Sivananda Center']",2024-06-01
